segment_id,total_feminicide,total_homicide,total_felony_murder,total_bodily_harm,total_theft_cellphone,total_armed_robbery_cellphone,total_theft_auto,total_armed_robbery_auto
100289,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
100291,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100294,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100296,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
100297,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
100298,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
100300,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
100301,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
100303,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
100307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100311,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100316,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100317,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
100318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
100327,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
100328,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100329,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100332,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
100333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
113117,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0
113124,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0
113146,0.0,5.0,0.0,0.0,170.0,1305.0,130.0,1400.0
113163,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
113166,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0
113167,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
113172,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
113173,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
